name,description,averageRating,openNow
"Blue Table","charming Thai restaurant featuring local artwork and chef's tasting menu. Offering authentic dishes in a charming setting.",5,true
"Le Room","charming French restaurant featuring minimalist design and vegan options. Offering authentic dishes in a charming setting.",4,false
"Wild Table","sleek Mexican restaurant featuring vintage decor and live music. Offering authentic dishes in a sleek setting.",5,true
"Le Kitchen","charming Chinese restaurant featuring vintage decor and house-made desserts. Offering authentic dishes in a charming setting.",4,true
"Café Blue Table","contemporary Brazilian restaurant featuring floor-to-ceiling windows and private dining rooms. Offering authentic dishes in a contemporary setting.",4,true
"Blue Plate","casual Brazilian restaurant featuring open kitchen concept and artisanal coffee. Offering authentic dishes in a casual setting.",5,true
"Urban Room","casual Mediterranean restaurant featuring open kitchen concept and seasonal menu. Offering authentic dishes in a casual setting.",5,false
"Urban Spoon","traditional Mediterranean restaurant featuring local artwork and craft cocktails. Offering authentic dishes in a traditional setting.",4,true
"Café Table","trendy Korean restaurant featuring warm wood finishes and seasonal menu. Offering authentic dishes in a trendy setting.",5,true
"La Blue Spoon","charming Mediterranean restaurant featuring garden seating and vegan options. Offering authentic dishes in a charming setting.",4,true
"Green Spoon","cozy Thai restaurant featuring minimalist design and house-made desserts. Offering authentic dishes in a cozy setting.",4,true
"Royal Fork","sleek Greek restaurant featuring floor-to-ceiling windows and vegan options. Offering authentic dishes in a sleek setting.",5,true
"Le Golden Room","upscale Vietnamese restaurant featuring ornate chandeliers and rooftop seating. Offering authentic dishes in a upscale setting.",4,false
"Royal Table","cozy Greek restaurant featuring hand-painted murals and private dining rooms. Offering authentic dishes in a cozy setting.",4,true
"Chez Wild House","casual American restaurant featuring terrace dining and craft cocktails. Offering authentic dishes in a casual setting.",4,true
"El Silver House","modern Italian restaurant featuring warm wood finishes and vegan options. Offering authentic dishes in a modern setting.",4,false
"Bistro Blue Table","trendy Korean restaurant featuring ornate chandeliers and seasonal menu. Offering authentic dishes in a trendy setting.",4,true
"Café Golden House","elegant Korean restaurant featuring industrial accents and artisanal coffee. Offering authentic dishes in a elegant setting.",5,true
"The Kitchen","charming Lebanese restaurant featuring local artwork and craft cocktails. Offering authentic dishes in a charming setting.",4,true
"Casa Blue House","upscale Korean restaurant featuring terrace dining and live music. Offering authentic dishes in a upscale setting.",4,true
"Urban Table","casual Vietnamese restaurant featuring hand-painted murals and house-made desserts. Offering authentic dishes in a casual setting.",4,false
"Golden Fork","elegant Japanese restaurant featuring floor-to-ceiling windows and organic ingredients. Offering authentic dishes in a elegant setting.",4,true
"El Spoon","cozy Japanese restaurant featuring hand-painted murals and rooftop seating. Offering authentic dishes in a cozy setting.",5,true
"La Golden Spoon","traditional Mediterranean restaurant featuring exposed brick walls and artisanal coffee. Offering authentic dishes in a traditional setting.",4,true
"Green Plate","traditional Indian restaurant featuring floor-to-ceiling windows and seasonal menu. Offering authentic dishes in a traditional setting.",4,true
"Café Room","vibrant Brazilian restaurant featuring vintage decor and live music. Offering authentic dishes in a vibrant setting.",4,false
"Le Golden Kitchen","vibrant Vietnamese restaurant featuring floor-to-ceiling windows and chef's tasting menu. Offering authentic dishes in a vibrant setting.",4,false
"Royal Garden","vibrant American restaurant featuring local artwork and artisanal coffee. Offering authentic dishes in a vibrant setting.",5,true
"Bistro Plate","vibrant Chinese restaurant featuring ornate chandeliers and live music. Offering authentic dishes in a vibrant setting.",5,true
"Chez Urban House","modern Greek restaurant featuring open kitchen concept and vegan options. Offering authentic dishes in a modern setting.",4,true
