artPieceName,artPieceHistory,currentValuation,onDisplay
"The Gleaners","Jean-François Millet’s 1857 painting focusing on peasant women gleaning wheat. Lauded for its social realism and warm color palette.",32000000,true
"Whistler’s Mother","James McNeill Whistler’s 1871 portrait titled 'Arrangement in Grey and Black No.1.' Iconic for its restrained color scheme.",34000000,false
"Portrait of Madame X","John Singer Sargent’s 1884 portrait that scandalized Parisian society with its depiction of socialite Virginie Amélie Avegno Gautreau.",32000000,true
"The Hay Wain","John Constable’s 1821 landscape depicting rural life in the English countryside, specifically the River Stour. Revered for its naturalism.",30000000,true
"Wanderer above the Sea of Fog","Caspar David Friedrich’s 1818 painting symbolizing Romantic contemplation of nature. A lone figure stands atop a rocky precipice.",45000000,false
"The Raft of the Medusa","Théodore Géricault’s 1818–1819 monumental painting portraying survivors of a French naval shipwreck. Intensely dramatic and political.",165000000,true
"Massacre of the Innocents","Peter Paul Rubens’s early 17th-century depiction of the biblical massacre. Known for its emotional intensity and dynamic composition.",140000000,false
"Portrait of Dr. Gachet","Vincent van Gogh’s 1890 portrait, capturing his doctor’s melancholy. One of the most expensive paintings ever sold at auction.",85000000,true
"Woman with a Parasol","Claude Monet’s 1875 painting of his wife and son, showcasing an airy Impressionist style and the play of sunlight.",110000000,true
"Les Demoiselles d’Avignon","Pablo Picasso’s groundbreaking 1907 painting. A bold departure toward Cubism, depicting five female figures with distorted forms.",70000000,false
"One: Number 31, 1950","Large-scale drip painting by Jackson Pollock. Its layered splashes of paint illustrate Pollock’s radical approach to composition.",200000000,true
"Portrait of Adele Bloch-Bauer I","Gustav Klimt’s 1907 gilded portrait. One of the most notable examples of Klimt’s Gold Period, celebrated for its lavish ornamentation.",135000000,false
"The Old Guitarist","Pablo Picasso’s 1903–1904 work from his Blue Period. Depicts an emaciated musician, emphasizing themes of poverty and isolation.",100000000,true
"Olympia","Édouard Manet’s 1863 painting. Provocative for its nude subject gazing directly at the viewer, challenging 19th-century conventions.",135000000,false
"A Bar at the Folies-Bergère","Édouard Manet’s last major work, painted in 1882. Explores modern life and social dynamics in a Parisian cabaret.",150000000,true
"The Potato Eaters","Vincent van Gogh’s 1885 depiction of a peasant family gathered at mealtime, emphasizing the harsh realities of rural poverty.",14000000,true
"Saturn Devouring His Son","Francisco Goya’s disturbing 1819–1823 mural, part of his Black Paintings. Symbolic of time and the devouring nature of power.",90000000,false
"The Fighting Temeraire","J. M. W. Turner’s 1838 tribute to a famous warship, highlighting the transition from sail to steam technology at sunset.",40000000,true
"The Luncheon on the Grass","Édouard Manet’s 1862–1863 painting featuring a bold juxtaposition of clothed men and a nude woman in a pastoral setting.",200000000,false
"Las Dos Fridas","Frida Kahlo’s 1939 double self-portrait, showcasing two different versions of the artist connected by a shared vein and exposed hearts.",25000000,true
"Four Marilyns","Andy Warhol’s 1962 silkscreen featuring repeated images of Marilyn Monroe, exemplifying Warhol’s Pop Art approach.",35000000,true
"Broadway Boogie-Woogie","Piet Mondrian’s 1942–1943 abstract piece inspired by the energetic rhythms of jazz and the Manhattan grid. Vibrant primary colors dominate.",180000000,false
"The Rocky Mountains, Lander's Peak","Albert Bierstadt’s 1863 landscape capturing the American West’s grandeur, showcasing snow-capped peaks and a serene lake.",80000000,true
