doctorName,expertise,yearsOfExperience,currentlyPracticing
"Dr. William Morgan","Clinical geneticist providing counseling and testing for hereditary conditions. Collaborates with multiple subspecialties for management.",7,true
"Dr. Camille Reed","Pediatric cardiologist focusing on congenital heart defects and cardiac imaging. Advocates for family-centered care.",15,false
"Dr. Jonathan Patel","Interventional pulmonologist performing complex bronchoscopic procedures and lung volume reduction therapy for COPD.",20,true
"Dr. Rebecca Brown","Endocrine surgeon specializing in thyroid, parathyroid, and adrenal gland conditions. Implements minimally invasive techniques.",11,true
"Dr. Xavier Stone","Gastrointestinal oncologist dedicated to colorectal and pancreatic cancer management. Emphasizes early screening and education.",16,true
"Dr. Lillian Castro","Acute care surgeon focusing on trauma resuscitation and critical care. Leads quality improvement initiatives for trauma services.",21,false
"Dr. Wesley Lowe","Sports medicine physician skilled in ultrasound-guided injections, concussion management, and athletic injury prevention.",6,true
"Dr. Penelope Hughes","OB/GYN practicing routine obstetrics, family planning, and annual well-woman exams. Conducts research on postpartum recovery.",8,true
"Dr. Adrian Li","Pediatric allergist specializing in atopic dermatitis and immunologic disorders. Develops personalized desensitization protocols.",10,true
"Dr. Francesca Zanetti","Neurologist specializing in neurodegenerative diseases like Parkinson’s and Alzheimer’s. Focus on early detection methods.",24,false
"Dr. Silvia Morales","Ear, nose, and throat surgeon with a focus on sinus disorders and head & neck surgery. Skilled in endoscopic procedures.",14,true
"Dr. Omar Najjar","Nephrologist managing chronic kidney disease, dialysis, and transplantation referrals. Advocates for nutritional interventions.",18,true
"Dr. Helena Porter","Pediatric endocrinologist focusing on type 1 diabetes and growth disorders. Active in clinical trials for new insulin therapies.",9,true
"Dr. Leo Sanders","Interventional cardiologist specializing in stent placements and electrophysiology studies. Interested in tele-cardiology advancements.",16,false
"Dr. Amanda King","Geriatrician focusing on cognitive health, medication optimization, and in-home care models for the elderly.",25,true
"Dr. Diego Ramirez","Pediatric surgeon skilled in minimally invasive techniques. Researches neonatal surgical outcomes and advanced laparoscopic methods.",13,true
"Dr. Marissa Shaw","Hospitalist overseeing inpatient care coordination. Guides multidisciplinary teams to ensure efficient patient transitions.",8,true
"Dr. Charles Winston","Psychiatrist specialized in addiction and substance use disorders. Uses medication-assisted treatment and group therapy.",17,true
"Dr. Harriet Fox","Family medicine physician with an emphasis on women's health and family planning. Supports local community clinics.",5,true
"Dr. Amir Khan","Interventional pain specialist focusing on spine injections, nerve blocks, and emerging neuromodulation technologies.",15,true
